epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.692307710647583,0.7332549691200256,0.692307710647583,0.627094030380249,0.692307710647583,0.692307710647583,0.6508875489234924,0.7567925453186035,0.6508875489234924,0.6137750148773193,0.6508875489234924,0.6508875489234924
1,0.7480106353759766,0.8028764724731445,0.7480105757713318,0.5437804460525513,0.7480106353759766,0.7480106353759766,0.8550295829772949,0.9154966473579407,0.8550295829772949,0.3993588089942932,0.8550295829772949,0.8550295829772949
2,0.7643678188323975,0.826842725276947,0.7643677592277527,0.5146464109420776,0.7643678188323975,0.7643678188323975,0.8491124510765076,0.9111331701278687,0.8491124510765076,0.5038010478019714,0.8491124510765076,0.8491124510765076
3,0.7670203447341919,0.8206332325935364,0.7670203447341919,0.5214855670928955,0.7670203447341919,0.7670203447341919,0.8846153616905212,0.9345829486846924,0.8846153616905212,0.41228362917900085,0.8846153616905212,0.8846153616905212
4,0.7634836435317993,0.8298150300979614,0.7634836435317993,0.5076174736022949,0.7634836435317993,0.7634836435317993,0.6035503149032593,0.75737464427948,0.6035503149032593,0.6295831203460693,0.6035503149032593,0.6035503149032593
5,0.7656940817832947,0.8298315405845642,0.7656940817832947,0.5085079073905945,0.7656940817832947,0.7656940817832947,0.8727810382843018,0.9343291521072388,0.8727810382843018,0.37565627694129944,0.8727810382843018,0.8727810382843018
6,0.7789566516876221,0.8396982550621033,0.7789565920829773,0.4965759217739105,0.7789566516876221,0.7789566516876221,0.7662721872329712,0.8764311075210571,0.7662721872329712,0.4458591639995575,0.7662721872329712,0.7662721872329712
7,0.774093747138977,0.8510732650756836,0.774093747138977,0.48159852623939514,0.774093747138977,0.774093747138977,0.8698225021362305,0.9402637481689453,0.8698225021362305,0.3912976384162903,0.8698225021362305,0.8698225021362305
8,0.7767462134361267,0.8340595364570618,0.7767462134361267,0.5047009587287903,0.7767462134361267,0.7767462134361267,0.8402366638183594,0.939694881439209,0.8402366638183594,0.416595458984375,0.8402366638183594,0.8402366638183594
9,0.7816091775894165,0.8422839641571045,0.7816091775894165,0.4948193430900574,0.7816091775894165,0.7816091775894165,0.6893491148948669,0.7909868359565735,0.6893491148948669,0.5779429078102112,0.6893491148948669,0.6893491148948669
10,0.7391688823699951,0.8089789748191833,0.7391688823699951,0.5384973287582397,0.7391688823699951,0.7391688823699951,0.5059171319007874,0.6942421197891235,0.5059171319007874,0.7047684192657471,0.5059171319007874,0.5059171319007874
11,0.7378426194190979,0.8026041984558105,0.7378426194190979,0.54266357421875,0.7378426194190979,0.7378426194190979,0.8698225021362305,0.9264031648635864,0.8698225021362305,0.39445993304252625,0.8698225021362305,0.8698225021362305
12,0.778514564037323,0.8412874937057495,0.778514564037323,0.49473538994789124,0.778514564037323,0.778514564037323,0.8698225021362305,0.9303420782089233,0.8698225021362305,0.3596312999725342,0.8698225021362305,0.8698225021362305
13,0.7692307829856873,0.8356102108955383,0.7692307829856873,0.5061435699462891,0.7692307829856873,0.7692307829856873,0.7958579659461975,0.9202540516853333,0.7958579659461975,0.4038761854171753,0.7958579659461975,0.7958579659461975
14,0.7838196158409119,0.8529666066169739,0.7838196158409119,0.47780343890190125,0.7838196158409119,0.7838196158409119,0.8964496850967407,0.9441370964050293,0.8964497447013855,0.32694384455680847,0.8964496850967407,0.8964496850967407
15,0.7838196158409119,0.8520750403404236,0.7838196158409119,0.4784489870071411,0.7838196158409119,0.7838196158409119,0.8875739574432373,0.9533148407936096,0.8875740170478821,0.37360090017318726,0.8875739574432373,0.8875739574432373
16,0.7860300540924072,0.8472822904586792,0.786030113697052,0.48708218336105347,0.7860300540924072,0.7860300540924072,0.9142012000083923,0.9481416940689087,0.9142012000083923,0.35718783736228943,0.9142012000083923,0.9142012000083923
17,0.7855879664421082,0.8534030914306641,0.7855879664421082,0.47820085287094116,0.7855879664421082,0.7855879664421082,0.8491124510765076,0.9412529468536377,0.8491124510765076,0.3503403663635254,0.8491124510765076,0.8491124510765076
18,0.7900088429450989,0.8531354665756226,0.7900088429450989,0.4777636229991913,0.7900088429450989,0.7900088429450989,0.784023642539978,0.9093037843704224,0.7840235829353333,0.42194268107414246,0.784023642539978,0.784023642539978
19,0.7922192811965942,0.8619077801704407,0.7922192811965942,0.4660446345806122,0.7922192811965942,0.7922192811965942,0.7899408340454102,0.91200852394104,0.7899408340454102,0.4237064719200134,0.7899408340454102,0.7899408340454102
20,0.7763041853904724,0.8454854488372803,0.7763041853904724,0.4905562400817871,0.7763041853904724,0.7763041853904724,0.8994082808494568,0.9546453952789307,0.8994083404541016,0.35013091564178467,0.8994082808494568,0.8994082808494568
21,0.7988505959510803,0.8626329898834229,0.7988505959510803,0.4625686705112457,0.7988505959510803,0.7988505959510803,0.8727810382843018,0.9559189677238464,0.8727810382843018,0.3883868455886841,0.8727810382843018,0.8727810382843018
22,0.8015031218528748,0.8706159591674805,0.8015031218528748,0.45303866267204285,0.8015031218528748,0.8015031218528748,0.8668639063835144,0.9435637593269348,0.8668639063835144,0.33373120427131653,0.8668639063835144,0.8668639063835144
23,0.8032714128494263,0.8620092868804932,0.8032714128494263,0.46017685532569885,0.8032714128494263,0.8032714128494263,0.8165680766105652,0.9342503547668457,0.81656813621521,0.39557498693466187,0.8165680766105652,0.8165680766105652
24,0.8045976758003235,0.8786864280700684,0.8045976758003235,0.43945178389549255,0.8045976758003235,0.8045976758003235,0.860946774482727,0.9522907137870789,0.860946774482727,0.38797467947006226,0.860946774482727,0.860946774482727
25,0.8156498670578003,0.8939797878265381,0.8156498670578003,0.4165239632129669,0.8156498670578003,0.8156498670578003,0.860946774482727,0.9601817727088928,0.860946774482727,0.3409874141216278,0.860946774482727,0.860946774482727
26,0.8156498670578003,0.8992643356323242,0.8156498670578003,0.40794748067855835,0.8156498670578003,0.8156498670578003,0.8757396340370178,0.9645189046859741,0.8757396340370178,0.3273593783378601,0.8757396340370178,0.8757396340370178
27,0.813881516456604,0.8992913365364075,0.813881516456604,0.4076390564441681,0.813881516456604,0.813881516456604,0.860946774482727,0.953809380531311,0.860946774482727,0.34457334876060486,0.860946774482727,0.860946774482727
28,0.8134394288063049,0.9014514088630676,0.8134393692016602,0.40354111790657043,0.8134394288063049,0.8134394288063049,0.7869822382926941,0.9213700294494629,0.7869821786880493,0.41753527522087097,0.7869822382926941,0.7869822382926941
29,0.8169761300086975,0.9019714593887329,0.8169761300086975,0.40074217319488525,0.8169761300086975,0.8169761300086975,0.88165682554245,0.9605056047439575,0.88165682554245,0.34401577711105347,0.88165682554245,0.88165682554245
30,0.8156498670578003,0.9032548666000366,0.8156498670578003,0.4002213180065155,0.8156498670578003,0.8156498670578003,0.8224852085113525,0.9390121102333069,0.8224852085113525,0.3814258873462677,0.8224852085113525,0.8224852085113525
31,0.8152077794075012,0.9063059091567993,0.8152077794075012,0.39419084787368774,0.8152077794075012,0.8152077794075012,0.8402366638183594,0.9460453391075134,0.8402366638183594,0.35862815380096436,0.8402366638183594,0.8402366638183594
32,0.8187444806098938,0.9054323434829712,0.8187444806098938,0.3943285346031189,0.8187444806098938,0.8187444806098938,0.8846153616905212,0.9649959206581116,0.8846153616905212,0.35172146558761597,0.8846153616905212,0.8846153616905212
33,0.8160919547080994,0.9063262343406677,0.8160919547080994,0.3953326344490051,0.8160919547080994,0.8160919547080994,0.9053254723548889,0.9707118272781372,0.9053254723548889,0.31856489181518555,0.9053254723548889,0.9053254723548889
34,0.8236074447631836,0.9100214242935181,0.8236074447631836,0.38761505484580994,0.8236074447631836,0.8236074447631836,0.9230769276618958,0.9759505987167358,0.9230769276618958,0.29360267519950867,0.9230769276618958,0.9230769276618958
35,0.8187444806098938,0.9087575078010559,0.8187444806098938,0.39046230912208557,0.8187444806098938,0.8187444806098938,0.8254438042640686,0.9332787394523621,0.8254438638687134,0.396192342042923,0.8254438042640686,0.8254438042640686
36,0.820070743560791,0.9122352004051208,0.820070743560791,0.38384902477264404,0.820070743560791,0.820070743560791,0.9201183319091797,0.9759944081306458,0.9201183319091797,0.2811930775642395,0.9201183319091797,0.9201183319091797
37,0.8218390941619873,0.9099540114402771,0.8218390941619873,0.38586750626564026,0.8218390941619873,0.8218390941619873,0.807692289352417,0.9317907094955444,0.807692289352417,0.38478273153305054,0.807692289352417,0.807692289352417
38,0.8249337077140808,0.9123350381851196,0.8249337673187256,0.3805798292160034,0.8249337077140808,0.8249337077140808,0.8934911489486694,0.9727994203567505,0.8934911489486694,0.3120969533920288,0.8934911489486694,0.8934911489486694
39,0.8244916200637817,0.9135314226150513,0.8244916200637817,0.3812640309333801,0.8244916200637817,0.8244916200637817,0.8934911489486694,0.9670222997665405,0.8934911489486694,0.3287374675273895,0.8934911489486694,0.8934911489486694
40,0.831122875213623,0.9172865152359009,0.8311229348182678,0.3713536858558655,0.831122875213623,0.831122875213623,0.9112426042556763,0.9780338406562805,0.9112426042556763,0.3380282521247864,0.9112426042556763,0.9112426042556763
41,0.8267020583152771,0.914766252040863,0.8267020583152771,0.3774622976779938,0.8267020583152771,0.8267020583152771,0.8431952595710754,0.9515860676765442,0.8431952595710754,0.3603425920009613,0.8431952595710754,0.8431952595710754
42,0.8275862336158752,0.9193102121353149,0.8275862336158752,0.3685947060585022,0.8275862336158752,0.8275862336158752,0.9201183319091797,0.9773029088973999,0.9201183319091797,0.2951235771179199,0.9201183319091797,0.9201183319091797
43,0.8240495324134827,0.9174504280090332,0.8240495920181274,0.37375128269195557,0.8240495324134827,0.8240495324134827,0.9201183319091797,0.9823448061943054,0.9201183319091797,0.2946810722351074,0.9201183319091797,0.9201183319091797
44,0.8333333134651184,0.9196300506591797,0.8333333134651184,0.36695924401283264,0.8333333134651184,0.8333333134651184,0.9082840085029602,0.9763532280921936,0.9082840085029602,0.31896576285362244,0.9082840085029602,0.9082840085029602
45,0.8289124965667725,0.9216521382331848,0.8289124965667725,0.3644333779811859,0.8289124965667725,0.8289124965667725,0.8224852085113525,0.9415068030357361,0.8224852085113525,0.373868465423584,0.8224852085113525,0.8224852085113525
46,0.8386383652687073,0.9207895994186401,0.8386383652687073,0.36557281017303467,0.8386383652687073,0.8386383652687073,0.88165682554245,0.9649040699005127,0.88165682554245,0.3343903720378876,0.88165682554245,0.88165682554245
47,0.8355437517166138,0.9269353747367859,0.8355437517166138,0.3535792827606201,0.8355437517166138,0.8355437517166138,0.9082840085029602,0.9764013886451721,0.9082840085029602,0.3117573857307434,0.9082840085029602,0.9082840085029602
48,0.8390804529190063,0.9270111918449402,0.8390804529190063,0.3540082573890686,0.8390804529190063,0.8390804529190063,0.9201183319091797,0.979745090007782,0.9201183319091797,0.3031533360481262,0.9201183319091797,0.9201183319091797
