epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5072911977767944,0.5107311606407166,0.5072911977767944,27.097814559936523,0.5072911977767944,0.5072911977767944,0.5,0.505864679813385,0.5,0.7247875928878784,0.5,0.5
1,0.5254087448120117,0.532598614692688,0.5254087448120117,0.7311928868293762,0.5254087448120117,0.5254087448120117,0.5,0.5118343234062195,0.5,0.7307416796684265,0.5,0.5
2,0.49668580293655396,0.49697089195251465,0.49668580293655396,0.7282821536064148,0.49668580293655396,0.49668580293655396,0.5,0.4837278127670288,0.5,0.7340170741081238,0.5,0.5
3,0.503756046295166,0.4950244724750519,0.503756046295166,0.7255803942680359,0.503756046295166,0.503756046295166,0.5,0.5,0.5,0.7271300554275513,0.5,0.5
4,0.48254528641700745,0.4853607714176178,0.48254528641700745,0.7242487072944641,0.48254528641700745,0.48254528641700745,0.5,0.5,0.5,0.7228245139122009,0.5,0.5
5,0.49845337867736816,0.5013909935951233,0.49845337867736816,0.7213009595870972,0.49845337867736816,0.49845337867736816,0.5,0.5,0.5,0.720721960067749,0.5,0.5
6,0.49491825699806213,0.4827233850955963,0.49491825699806213,0.7232300639152527,0.49491825699806213,0.49491825699806213,0.5,0.5,0.5,0.720628559589386,0.5,0.5
7,0.49756959080696106,0.5029365420341492,0.49756959080696106,0.7221127152442932,0.49756959080696106,0.49756959080696106,0.5,0.5,0.5,0.7207385301589966,0.5,0.5
8,0.4980114996433258,0.49664556980133057,0.4980114996433258,0.7260943055152893,0.4980114996433258,0.4980114996433258,0.5,0.5,0.5,0.7204036116600037,0.5,0.5
9,0.5121520161628723,0.509574294090271,0.5121520161628723,0.722613513469696,0.5121520161628723,0.5121520161628723,0.5,0.5,0.5,0.7240673899650574,0.5,0.5
10,0.4874061048030853,0.4843105375766754,0.4874061048030853,0.7217714786529541,0.4874061048030853,0.4874061048030853,0.5,0.5,0.5,0.7216297388076782,0.5,0.5
11,0.49933716654777527,0.49476319551467896,0.49933716654777527,0.7230339646339417,0.49933716654777527,0.49933716654777527,0.5,0.5,0.5,0.7199991345405579,0.5,0.5
12,0.513035774230957,0.49606698751449585,0.513035774230957,0.7206676006317139,0.513035774230957,0.513035774230957,0.5,0.5,0.5,0.7222035527229309,0.5,0.5
13,0.49580204486846924,0.4974997639656067,0.49580204486846924,0.7223402857780457,0.49580204486846924,0.49580204486846924,0.5,0.523668646812439,0.5,0.721240222454071,0.5,0.5
14,0.4838709533214569,0.4819541275501251,0.4838709533214569,0.7214655876159668,0.4838709533214569,0.4838709533214569,0.5,0.49704140424728394,0.5,0.7201295495033264,0.5,0.5
15,0.4807777404785156,0.4880072772502899,0.4807777404785156,0.7221217751502991,0.4807777404785156,0.4807777404785156,0.5,0.5,0.5,0.7223437428474426,0.5,0.5
16,0.48519665002822876,0.47887152433395386,0.48519665002822876,0.7230938673019409,0.48519665002822876,0.48519665002822876,0.5,0.5,0.5,0.7207646369934082,0.5,0.5
17,0.49756959080696106,0.4926173985004425,0.49756959080696106,0.7227330207824707,0.49756959080696106,0.49756959080696106,0.5,0.5,0.5,0.7196628451347351,0.5,0.5
18,0.4790101647377014,0.47741711139678955,0.4790101647377014,0.7210676670074463,0.4790101647377014,0.4790101647377014,0.5,0.5,0.5,0.7196345329284668,0.5,0.5
19,0.4856385290622711,0.475935697555542,0.4856385290622711,0.7233735918998718,0.4856385290622711,0.4856385290622711,0.5,0.5,0.5,0.7229690551757812,0.5,0.5
20,0.4856385290622711,0.48511579632759094,0.4856385290622711,0.7226817607879639,0.4856385290622711,0.4856385290622711,0.5,0.5,0.5,0.7258083820343018,0.5,0.5
21,0.4869641959667206,0.4855687618255615,0.4869641959667206,0.7222331166267395,0.4869641959667206,0.4869641959667206,0.5,0.5,0.5,0.7206646800041199,0.5,0.5
22,0.5046398639678955,0.5051715970039368,0.5046398639678955,0.7213049530982971,0.5046398639678955,0.5046398639678955,0.5,0.516272246837616,0.5,0.7216334342956543,0.5,0.5
23,0.48342907428741455,0.47592514753341675,0.48342907428741455,0.7225669026374817,0.48342907428741455,0.48342907428741455,0.5,0.5,0.5,0.7196683883666992,0.5,0.5
24,0.49270880222320557,0.49446403980255127,0.49270880222320557,0.7209453582763672,0.49270880222320557,0.49270880222320557,0.5,0.5,0.5,0.7216460108757019,0.5,0.5
25,0.4944763481616974,0.49394816160202026,0.4944763481616974,0.7203295230865479,0.4944763481616974,0.4944763481616974,0.5,0.5,0.5,0.7194691300392151,0.5,0.5
26,0.5064074397087097,0.4937782883644104,0.5064074397087097,0.7206327319145203,0.5064074397087097,0.5064074397087097,0.5,0.5,0.5,0.7195625901222229,0.5,0.5
27,0.49359259009361267,0.4939389228820801,0.49359259009361267,0.7208442687988281,0.49359259009361267,0.49359259009361267,0.5,0.5,0.5,0.7194015979766846,0.5,0.5
28,0.503314197063446,0.4934636950492859,0.503314197063446,0.7204647660255432,0.503314197063446,0.503314197063446,0.5,0.5,0.5,0.719769299030304,0.5,0.5
29,0.4997790455818176,0.48738062381744385,0.4997790455818176,0.7199116945266724,0.4997790455818176,0.4997790455818176,0.5,0.5,0.5,0.7195232510566711,0.5,0.5
30,0.4971277117729187,0.4957283139228821,0.4971277117729187,0.7202136516571045,0.4971277117729187,0.4971277117729187,0.5,0.5,0.5,0.7197287082672119,0.5,0.5
31,0.49668580293655396,0.4950842261314392,0.49668580293655396,0.7199063301086426,0.49668580293655396,0.49668580293655396,0.5,0.5,0.5,0.7192139029502869,0.5,0.5
32,0.481219619512558,0.47878217697143555,0.481219619512558,0.7198315262794495,0.481219619512558,0.481219619512558,0.5,0.5,0.5,0.719207763671875,0.5,0.5
33,0.4953601360321045,0.4877340495586395,0.4953601360321045,0.7196371555328369,0.4953601360321045,0.4953601360321045,0.5,0.5,0.5,0.7190556526184082,0.5,0.5
34,0.48917365074157715,0.4986873269081116,0.48917365074157715,0.7194867730140686,0.48917365074157715,0.48917365074157715,0.5,0.5029585361480713,0.5,0.7193561792373657,0.5,0.5
35,0.5011047124862671,0.4943481683731079,0.5011047124862671,0.7196671962738037,0.5011047124862671,0.5011047124862671,0.5,0.5,0.5,0.7191304564476013,0.5,0.5
36,0.49845337867736816,0.48993295431137085,0.49845337867736816,0.7201821208000183,0.49845337867736816,0.49845337867736816,0.5,0.5014792680740356,0.5,0.7190991640090942,0.5,0.5
37,0.5019885301589966,0.49020418524742126,0.5019885301589966,0.7199316620826721,0.5019885301589966,0.5019885301589966,0.5,0.5,0.5,0.7190853953361511,0.5,0.5
38,0.5117101073265076,0.5109039545059204,0.5117101073265076,0.7191834449768066,0.5117101073265076,0.5117101073265076,0.5,0.5,0.5,0.7197811603546143,0.5,0.5
39,0.5161290168762207,0.515655517578125,0.5161290168762207,0.7192484736442566,0.5161290168762207,0.5161290168762207,0.5,0.5,0.5,0.7192550301551819,0.5,0.5
40,0.4803358316421509,0.4697468876838684,0.4803358316421509,0.7199212908744812,0.4803358316421509,0.4803358316421509,0.5,0.5133136510848999,0.5,0.7187610864639282,0.5,0.5
41,0.4821034073829651,0.47842347621917725,0.4821034073829651,0.7198469042778015,0.4821034073829651,0.4821034073829651,0.5,0.5,0.5,0.7186541557312012,0.5,0.5
42,0.4874061048030853,0.4839978516101837,0.4874061048030853,0.7192509770393372,0.4874061048030853,0.4874061048030853,0.5,0.5,0.5,0.7185322046279907,0.5,0.5
43,0.4953601360321045,0.4887336492538452,0.4953601360321045,0.7194671630859375,0.4953601360321045,0.4953601360321045,0.5,0.5,0.5,0.7184661626815796,0.5,0.5
44,0.4781263768672943,0.4694848954677582,0.4781263768672943,0.7192635536193848,0.4781263768672943,0.4781263768672943,0.5,0.5,0.5,0.7184356451034546,0.5,0.5
45,0.4838709533214569,0.4807423949241638,0.4838709533214569,0.7195771932601929,0.4838709533214569,0.4838709533214569,0.5,0.5483570098876953,0.5,0.7182840704917908,0.5,0.5
46,0.5068492889404297,0.4993220269680023,0.5068492889404297,0.7191946506500244,0.5068492889404297,0.5068492889404297,0.5,0.5014792680740356,0.5,0.7183728218078613,0.5,0.5
47,0.5011047124862671,0.49367809295654297,0.5011047124862671,0.7197292447090149,0.5011047124862671,0.5011047124862671,0.5,0.5,0.5,0.7182644605636597,0.5,0.5
48,0.4997790455818176,0.48541709780693054,0.4997790455818176,0.7204583883285522,0.4997790455818176,0.4997790455818176,0.5,0.5,0.5,0.7187085747718811,0.5,0.5
49,0.4896155595779419,0.49537748098373413,0.4896155595779419,0.7200795412063599,0.4896155595779419,0.4896155595779419,0.5,0.5059171915054321,0.5,0.7237737774848938,0.5,0.5
50,0.5028722882270813,0.509555459022522,0.5028722882270813,0.7191042304039001,0.5028722882270813,0.5028722882270813,0.5,0.5,0.5,0.73841792345047,0.5,0.5
51,0.5028722882270813,0.5108566284179688,0.5028722882270813,0.7192498445510864,0.5028722882270813,0.5028722882270813,0.5,0.5,0.5,0.7182930707931519,0.5,0.5
52,0.5125939249992371,0.508273720741272,0.5125939249992371,0.7191954255104065,0.5125939249992371,0.5125939249992371,0.5,0.5207099914550781,0.5,0.7181253433227539,0.5,0.5
53,0.49933716654777527,0.5014492869377136,0.49933716654777527,0.7215898036956787,0.49933716654777527,0.49933716654777527,0.5,0.5,0.5,0.7198613882064819,0.5,0.5
54,0.49845337867736816,0.4945693016052246,0.49845337867736816,0.7195004224777222,0.49845337867736816,0.49845337867736816,0.5,0.5,0.5,0.718707263469696,0.5,0.5
55,0.49668580293655396,0.4943002164363861,0.49668580293655396,0.7198052406311035,0.49668580293655396,0.49668580293655396,0.5,0.4911242425441742,0.5,0.7193764448165894,0.5,0.5
56,0.4878479838371277,0.4913628101348877,0.4878479838371277,0.7194747924804688,0.4878479838371277,0.4878479838371277,0.5,0.5,0.5,0.7179579734802246,0.5,0.5
57,0.4754750430583954,0.46062296628952026,0.4754750430583954,0.7187178134918213,0.4754750430583954,0.4754750430583954,0.5,0.5,0.5,0.7175593972206116,0.5,0.5
58,0.49845337867736816,0.48453038930892944,0.49845337867736816,0.7185313701629639,0.49845337867736816,0.49845337867736816,0.5,0.5,0.5,0.7175145149230957,0.5,0.5
59,0.5064074397087097,0.5129910111427307,0.5064074397087097,0.7208078503608704,0.5064074397087097,0.5064074397087097,0.5,0.474852055311203,0.5,0.7241553068161011,0.5,0.5
60,0.490499347448349,0.49263566732406616,0.490499347448349,0.7201021313667297,0.490499347448349,0.490499347448349,0.5,0.49704140424728394,0.5,0.7202417254447937,0.5,0.5
61,0.5086168646812439,0.5081192255020142,0.5086168646812439,0.7181986570358276,0.5086168646812439,0.5086168646812439,0.5,0.5,0.5,0.7173768877983093,0.5,0.5
62,0.4980114996433258,0.4927119016647339,0.4980114996433258,0.7199891805648804,0.4980114996433258,0.4980114996433258,0.5,0.5,0.5,0.7173875570297241,0.5,0.5
63,0.49359259009361267,0.49241647124290466,0.49359259009361267,0.71919846534729,0.49359259009361267,0.49359259009361267,0.5,0.5,0.5,0.7174007892608643,0.5,0.5
64,0.4887317717075348,0.490073561668396,0.4887317717075348,0.7181331515312195,0.4887317717075348,0.4887317717075348,0.5,0.5,0.5,0.7169217467308044,0.5,0.5
65,0.48608043789863586,0.4867952764034271,0.48608043789863586,0.7175859212875366,0.48608043789863586,0.48608043789863586,0.5,0.5,0.5,0.7168253064155579,0.5,0.5
66,0.503756046295166,0.5030693411827087,0.503756046295166,0.7178943753242493,0.503756046295166,0.503756046295166,0.5,0.5,0.5,0.7168058156967163,0.5,0.5
67,0.49403446912765503,0.491211473941803,0.49403446912765503,0.7177151441574097,0.49403446912765503,0.49403446912765503,0.5,0.5,0.5,0.7176114320755005,0.5,0.5
68,0.505965530872345,0.5004080533981323,0.505965530872345,0.7171622514724731,0.505965530872345,0.505965530872345,0.5,0.5,0.5,0.7167148590087891,0.5,0.5
69,0.4962439239025116,0.4858822822570801,0.4962439239025116,0.7175524830818176,0.4962439239025116,0.4962439239025116,0.5,0.5,0.5,0.7164338231086731,0.5,0.5
70,0.4980114996433258,0.49103131890296936,0.4980114996433258,0.7168943881988525,0.4980114996433258,0.4980114996433258,0.5,0.5,0.5,0.7169824838638306,0.5,0.5
71,0.5050817728042603,0.4974568486213684,0.5050817728042603,0.7169627547264099,0.5050817728042603,0.5050817728042603,0.5,0.5,0.5,0.7172579169273376,0.5,0.5
72,0.49756959080696106,0.5040207505226135,0.49756959080696106,0.7166295051574707,0.49756959080696106,0.49756959080696106,0.5,0.5,0.5,0.7177774310112,0.5,0.5
