epoch,accuracy,auc_2,loss,precision_2,recall_2,val_accuracy,val_auc_2,val_loss,val_precision_2,val_recall_2
0,0.5006628632545471,0.5048691630363464,32.18941879272461,0.5006628632545471,0.5006628632545471,0.4970414340496063,0.42345768213272095,0.6948550939559937,0.4970414340496063,0.4970414340496063
1,0.5170128345489502,0.5284320712089539,0.6954075694084167,0.5170128345489502,0.5170128345489502,0.4467455744743347,0.419173002243042,0.6984571814537048,0.4467455744743347,0.4467455744743347
2,0.5143614411354065,0.5285609364509583,0.6957119107246399,0.5143614411354065,0.5143614411354065,0.3875739574432373,0.3956313133239746,0.7028581500053406,0.3875739574432373,0.3875739574432373
3,0.555457353591919,0.5831363797187805,0.6831363439559937,0.555457353591919,0.555457353591919,0.5088757276535034,0.5060703754425049,0.6990131735801697,0.5088757276535034,0.5088757276535034
4,0.5819708108901978,0.6191083788871765,0.6695632934570312,0.5819708108901978,0.5819708108901978,0.5680473446846008,0.5964076519012451,0.6729804873466492,0.5680473446846008,0.5680473446846008
5,0.6129032373428345,0.6597057580947876,0.6511775851249695,0.6129032373428345,0.6129032373428345,0.5443786978721619,0.6315867900848389,0.7039855718612671,0.5443786978721619,0.5443786978721619
6,0.67034912109375,0.7273567318916321,0.6093969345092773,0.67034912109375,0.67034912109375,0.7130177617073059,0.7960898876190186,0.5630307793617249,0.7130177617073059,0.7130177617073059
7,0.717631459236145,0.7756312489509583,0.5696527361869812,0.717631459236145,0.717631459236145,0.7781065106391907,0.8543599843978882,0.5031845569610596,0.7781065106391907,0.7781065106391907
8,0.717631459236145,0.7753344178199768,0.5688076019287109,0.717631459236145,0.717631459236145,0.7958579659461975,0.8556598424911499,0.492948442697525,0.7958579659461975,0.7958579659461975
9,0.7282368540763855,0.7877071499824524,0.5567036271095276,0.7282368540763855,0.7282368540763855,0.7692307829856873,0.843112051486969,0.5168319940567017,0.7692307829856873,0.7692307829856873
10,0.7229341864585876,0.7881957292556763,0.556847870349884,0.7229341864585876,0.7229341864585876,0.7071005702018738,0.7859405875205994,0.5660314559936523,0.7071005702018738,0.7071005702018738
11,0.7339814305305481,0.8116602897644043,0.5315486192703247,0.7339814305305481,0.7339814305305481,0.7751479148864746,0.8525524735450745,0.48379650712013245,0.7751479148864746,0.7751479148864746
12,0.7609367966651917,0.8229905962944031,0.5182225108146667,0.7609367966651917,0.7609367966651917,0.7485207319259644,0.8308358192443848,0.5092130303382874,0.7485207319259644,0.7485207319259644
13,0.7556341290473938,0.8237390518188477,0.5163718461990356,0.7556341290473938,0.7556341290473938,0.7366864085197449,0.7856823801994324,0.5583598017692566,0.7366864085197449,0.7366864085197449
14,0.7649138569831848,0.8443079590797424,0.49030229449272156,0.7649138569831848,0.7649138569831848,0.8136094808578491,0.8810790777206421,0.4453282058238983,0.8136094808578491,0.8136094808578491
15,0.7635881304740906,0.840166449546814,0.4963463544845581,0.7635881304740906,0.7635881304740906,0.7633135914802551,0.8480269908905029,0.48914283514022827,0.7633135914802551,0.7633135914802551
16,0.7379584908485413,0.8084977865219116,0.5349901914596558,0.7379584908485413,0.7379584908485413,0.7899408340454102,0.844630777835846,0.5278369784355164,0.7899408340454102,0.7899408340454102
17,0.7547503113746643,0.8307890295982361,0.5083867311477661,0.7547503113746643,0.7547503113746643,0.8165680766105652,0.8668989539146423,0.47996580600738525,0.8165680766105652,0.8165680766105652
18,0.7923110723495483,0.8632214069366455,0.46467307209968567,0.7923110723495483,0.7923110723495483,0.7278106212615967,0.8143008947372437,0.5201773047447205,0.7278106212615967,0.7278106212615967
19,0.7839151620864868,0.8540871143341064,0.47638002038002014,0.7839151620864868,0.7839151620864868,0.7781065106391907,0.8508849740028381,0.4781154990196228,0.7781065106391907,0.7781065106391907
20,0.795404314994812,0.8671013712882996,0.45778390765190125,0.795404314994812,0.795404314994812,0.7041420340538025,0.7684297561645508,0.5901406407356262,0.7041420340538025,0.7041420340538025
21,0.7852408289909363,0.8576651215553284,0.4708184599876404,0.7852408289909363,0.7852408289909363,0.7781065106391907,0.8558348417282104,0.48203104734420776,0.7781065106391907,0.7781065106391907
22,0.8002651333808899,0.872732400894165,0.4494541585445404,0.8002651333808899,0.8002651333808899,0.8136094808578491,0.8999203443527222,0.4042915403842926,0.8136094808578491,0.8136094808578491
23,0.8064516186714172,0.8770658373832703,0.4422890543937683,0.8064516186714172,0.8064516186714172,0.7011834383010864,0.761234700679779,0.5935171246528625,0.7011834383010864,0.7011834383010864
24,0.8077772855758667,0.8815059065818787,0.4323115348815918,0.8077772855758667,0.8077772855758667,0.8017751574516296,0.8733938336372375,0.4460047781467438,0.8017751574516296,0.8017751574516296
25,0.8174989223480225,0.8891605734825134,0.4217263460159302,0.8174989223480225,0.8174989223480225,0.7485207319259644,0.8313652873039246,0.5076464414596558,0.7485207319259644,0.7485207319259644
26,0.8250110745429993,0.8930365443229675,0.41609781980514526,0.8250110745429993,0.8250110745429993,0.8165680766105652,0.8985810875892639,0.4153519570827484,0.8165680766105652,0.8165680766105652
27,0.8192664384841919,0.8846990466117859,0.42938145995140076,0.8192664384841919,0.8192664384841919,0.7071005702018738,0.7947813868522644,0.5651674270629883,0.7071005702018738,0.7071005702018738
28,0.823685348033905,0.8953301310539246,0.4081818163394928,0.823685348033905,0.823685348033905,0.784023642539978,0.8601371049880981,0.47244611382484436,0.784023642539978,0.784023642539978
29,0.8360583186149597,0.9121376872062683,0.3772067427635193,0.8360583186149597,0.8360583186149597,0.7278106212615967,0.8243190050125122,0.5442173480987549,0.7278106212615967,0.7278106212615967
30,0.8325232267379761,0.8986343741416931,0.4019392430782318,0.8325232267379761,0.8325232267379761,0.860946774482727,0.9385219216346741,0.32737866044044495,0.860946774482727,0.860946774482727
31,0.8289880752563477,0.9026767611503601,0.39628303050994873,0.8289880752563477,0.8289880752563477,0.8786982297897339,0.9496954083442688,0.2988709807395935,0.8786982297897339,0.8786982297897339
32,0.8307556509971619,0.898670494556427,0.40293461084365845,0.8307556509971619,0.8307556509971619,0.8284023404121399,0.8936662077903748,0.43214330077171326,0.8284023404121399,0.8284023404121399
33,0.8373839855194092,0.9054274559020996,0.3872310519218445,0.8373839855194092,0.8373839855194092,0.7721893787384033,0.8694897890090942,0.4819205403327942,0.7721893787384033,0.7721893787384033
34,0.8316394090652466,0.8989404439926147,0.3999665081501007,0.8316394090652466,0.8316394090652466,0.8668639063835144,0.9310423135757446,0.34896931052207947,0.8668639063835144,0.8668639063835144
35,0.8422448039054871,0.9157665967941284,0.36924687027931213,0.8422448039054871,0.8422448039054871,0.8668639063835144,0.9448549747467041,0.3107578456401825,0.8668639063835144,0.8668639063835144
36,0.8612461090087891,0.9236357808113098,0.3514231741428375,0.8612461090087891,0.8612461090087891,0.8786982297897339,0.9386576414108276,0.3275878131389618,0.8786982297897339,0.8786982297897339
37,0.8590366840362549,0.9249383807182312,0.3471817374229431,0.8590366840362549,0.8590366840362549,0.857988178730011,0.9158949255943298,0.37207552790641785,0.857988178730011,0.857988178730011
38,0.8647812604904175,0.934630274772644,0.32335999608039856,0.8647812604904175,0.8647812604904175,0.8994082808494568,0.961556077003479,0.2672678530216217,0.8994082808494568,0.8994082808494568
39,0.8594785928726196,0.9252333641052246,0.34696805477142334,0.8594785928726196,0.8594785928726196,0.8875739574432373,0.9487850069999695,0.2975507378578186,0.8875739574432373,0.8875739574432373
40,0.8714096546173096,0.9388734698295593,0.31631699204444885,0.8714096546173096,0.8714096546173096,0.8934911489486694,0.9442772269248962,0.2990972697734833,0.8934911489486694,0.8934911489486694
