epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.65885990858078,0.7338712811470032,0.65885990858078,0.6385263800621033,0.65885990858078,0.65885990858078,0.6893491148948669,0.7999151349067688,0.6893491148948669,0.6146162748336792,0.6893491148948669,0.6893491148948669
1,0.7494476437568665,0.8017517924308777,0.7494477033615112,0.5746693015098572,0.7494476437568665,0.7494476437568665,0.7662721872329712,0.8342407941818237,0.7662721872329712,0.5370705127716064,0.7662721872329712,0.7662721872329712
2,0.757843554019928,0.8295762538909912,0.757843554019928,0.5383099317550659,0.757843554019928,0.757843554019928,0.8520709872245789,0.9116015434265137,0.8520709872245789,0.41883358359336853,0.8520709872245789,0.8520709872245789
3,0.7728678584098816,0.8503081798553467,0.7728678584098816,0.5152647495269775,0.7728678584098816,0.7728678584098816,0.7721893787384033,0.8787989020347595,0.7721894383430481,0.5026647448539734,0.7721893787384033,0.7721893787384033
4,0.795404314994812,0.866084635257721,0.795404314994812,0.4845432937145233,0.795404314994812,0.795404314994812,0.8047337532043457,0.9020867347717285,0.8047337532043457,0.4633682072162628,0.8047337532043457,0.8047337532043457
5,0.7962881326675415,0.8676348924636841,0.7962881326675415,0.48329809308052063,0.7962881326675415,0.7962881326675415,0.8017751574516296,0.9251996278762817,0.8017751574516296,0.420076847076416,0.8017751574516296,0.8017751574516296
6,0.8170570135116577,0.8869130611419678,0.8170570135116577,0.4492393434047699,0.8170570135116577,0.8170570135116577,0.9023668766021729,0.9646502137184143,0.9023668766021729,0.33036521077156067,0.9023668766021729,0.9023668766021729
7,0.8011488914489746,0.8664337992668152,0.8011488914489746,0.482149213552475,0.8011488914489746,0.8011488914489746,0.9053254723548889,0.9741255044937134,0.9053254723548889,0.39781391620635986,0.9053254723548889,0.9053254723548889
8,0.8179407715797424,0.8912258744239807,0.8179407715797424,0.44178661704063416,0.8179407715797424,0.8179407715797424,0.8431952595710754,0.9345742464065552,0.8431952595710754,0.38927969336509705,0.8431952595710754,0.8431952595710754
9,0.8307556509971619,0.9025143384933472,0.8307556509971619,0.42032429575920105,0.8307556509971619,0.8307556509971619,0.8047337532043457,0.9182013869285583,0.8047337532043457,0.4188067317008972,0.8047337532043457,0.8047337532043457
10,0.8391515612602234,0.9110024571418762,0.8391515612602234,0.40202459692955017,0.8391515612602234,0.8391515612602234,0.8727810382843018,0.9595733284950256,0.8727810382843018,0.30255651473999023,0.8727810382843018,0.8727810382843018
11,0.8462218046188354,0.9145225286483765,0.8462218046188354,0.3963273763656616,0.8462218046188354,0.8462218046188354,0.9437869787216187,0.9829312562942505,0.9437869787216187,0.22794628143310547,0.9437869787216187,0.9437869787216187
12,0.8546177744865417,0.9197850227355957,0.8546177744865417,0.3825628161430359,0.8546177744865417,0.8546177744865417,0.6508875489234924,0.7431199550628662,0.6508875489234924,0.8435875773429871,0.6508875489234924,0.6508875489234924
13,0.8369421362876892,0.901804506778717,0.8369421362876892,0.42113518714904785,0.8369421362876892,0.8369421362876892,0.7573964595794678,0.857979416847229,0.7573964595794678,0.4964366555213928,0.7573964595794678,0.7573964595794678
14,0.8532921075820923,0.9171915054321289,0.8532920479774475,0.38987594842910767,0.8532921075820923,0.8532921075820923,0.9260355234146118,0.9764320254325867,0.9260355234146118,0.2417682707309723,0.9260355234146118,0.9260355234146118
15,0.8532921075820923,0.922184944152832,0.8532920479774475,0.3813013434410095,0.8532921075820923,0.8532921075820923,0.9349112510681152,0.9791586995124817,0.9349112510681152,0.232188880443573,0.9349112510681152,0.9349112510681152
16,0.8484312891960144,0.9157623052597046,0.8484312891960144,0.39434412121772766,0.8484312891960144,0.8484312891960144,0.9556213021278381,0.9839422106742859,0.9556213021278381,0.26390495896339417,0.9556213021278381,0.9556213021278381
17,0.8599204421043396,0.9284960627555847,0.8599204421043396,0.3680432140827179,0.8599204421043396,0.8599204421043396,0.9437869787216187,0.9838240742683411,0.9437869787216187,0.26070523262023926,0.9437869787216187,0.9437869787216187
