epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.7681095600128174,0.8331296443939209,0.7681095600128174,0.5301927328109741,0.7681095600128174,0.7681095600128174,0.7692307829856873,0.8482459187507629,0.7692307829856873,0.4851478338241577,0.7692307829856873,0.7692307829856873
1,0.8458480834960938,0.9264471530914307,0.8458480834960938,0.3465103805065155,0.8458480834960938,0.8458480834960938,0.7988165616989136,0.9062619209289551,0.7988165616989136,0.3818998634815216,0.7988165616989136,0.7988165616989136
2,0.880742073059082,0.9522125720977783,0.880742073059082,0.2802806496620178,0.880742073059082,0.880742073059082,0.8875739574432373,0.9550523161888123,0.8875740170478821,0.2789241075515747,0.8875739574432373,0.8875739574432373
3,0.898409903049469,0.9643094539642334,0.898409903049469,0.24231193959712982,0.898409903049469,0.898409903049469,0.9142012000083923,0.9772942066192627,0.9142012000083923,0.21472416818141937,0.9142012000083923,0.9142012000083923
4,0.9134275913238525,0.9709770679473877,0.9134275913238525,0.22063645720481873,0.9134275913238525,0.9134275913238525,0.8875739574432373,0.9644796252250671,0.8875740170478821,0.24177896976470947,0.8875739574432373,0.8875739574432373
5,0.9134275913238525,0.9707483053207397,0.9134275913238525,0.21890826523303986,0.9134275913238525,0.9134275913238525,0.9289940595626831,0.9767602682113647,0.9289940595626831,0.1966208666563034,0.9289940595626831,0.9289940595626831
6,0.9363957643508911,0.9827398061752319,0.9363957643508911,0.16896304488182068,0.9363957643508911,0.9363957643508911,0.8875739574432373,0.9564046263694763,0.8875740170478821,0.26732221245765686,0.8875739574432373,0.8875739574432373
7,0.934628963470459,0.9816616177558899,0.934628963470459,0.174271360039711,0.934628963470459,0.934628963470459,0.9585798978805542,0.9948968887329102,0.9585798978805542,0.11322885006666183,0.9585798978805542,0.9585798978805542
8,0.940371036529541,0.9856172800064087,0.940371036529541,0.15364500880241394,0.940371036529541,0.940371036529541,0.9526627063751221,0.9895049333572388,0.9526627063751221,0.1337430328130722,0.9526627063751221,0.9526627063751221
9,0.9421378374099731,0.9866740703582764,0.9421378374099731,0.14840111136436462,0.9421378374099731,0.9421378374099731,0.9378698468208313,0.9848307967185974,0.9378698468208313,0.15601277351379395,0.9378698468208313,0.9378698468208313
10,0.9518551230430603,0.9906618595123291,0.9518551230430603,0.12551534175872803,0.9518551230430603,0.9518551230430603,0.9289940595626831,0.9826905727386475,0.9289940595626831,0.16863855719566345,0.9289940595626831,0.9289940595626831
11,0.952296793460846,0.9903396368026733,0.952296793460846,0.12165599316358566,0.952296793460846,0.952296793460846,0.9260355234146118,0.9780777096748352,0.9260355234146118,0.1817166805267334,0.9260355234146118,0.9260355234146118
12,0.9536219239234924,0.9912461638450623,0.9536219239234924,0.11980598419904709,0.9536219239234924,0.9536219239234924,0.9497041702270508,0.9918332695960999,0.9497041702270508,0.1198505312204361,0.9497041702270508,0.9497041702270508
13,0.9545053243637085,0.989666223526001,0.9545053243637085,0.1277543008327484,0.9545053243637085,0.9545053243637085,0.8964496850967407,0.9757668375968933,0.8964497447013855,0.1997821033000946,0.8964496850967407,0.8964496850967407
14,0.953180193901062,0.9906255006790161,0.953180193901062,0.12207446247339249,0.953180193901062,0.953180193901062,0.9526627063751221,0.9916099905967712,0.9526627063751221,0.1215287297964096,0.9526627063751221,0.9526627063751221
